[2020-07-07 10:15:42.976991] Generating Gabor Filters...
[2020-07-07 10:15:42.986380] Generating Gabor Filters Done!
[2020-07-07 10:15:42.986408] Loading MNIST Data...
[2020-07-07 10:15:44.238532] Loading MNIST Data Done!
[2020-07-07 10:15:44.467573] Convoluting Images...
[2020-07-07 10:16:10.134552] Convoluting Images Done!
[2020-07-07 10:16:10.135134] Image Blocks and Gabor Images Capturing...
[2020-07-07 10:20:16.159930] Image Blocks and Gabor Images Capturing Done!
[2020-07-07 10:40:03.126536] Epoch : 0282 loss = 0.092969527
[2020-07-07 10:40:07.300906] Epoch : 0283 loss = 0.088429112
[2020-07-07 10:40:11.465553] Epoch : 0284 loss = 0.079337867
[2020-07-07 10:40:15.639244] Epoch : 0285 loss = 0.071255712
[2020-07-07 10:40:19.782620] Epoch : 0286 loss = 0.066962957
[2020-07-07 10:40:23.990960] Epoch : 0287 loss = 0.066353465
[2020-07-07 10:40:28.222540] Epoch : 0288 loss = 0.070770091
[2020-07-07 10:40:32.437495] Epoch : 0289 loss = 0.079013188
[2020-07-07 10:40:36.605407] Epoch : 0290 loss = 0.083627192
[2020-07-07 10:40:40.813805] Epoch : 0291 loss = 0.080980972
[2020-07-07 10:40:44.971847] Epoch : 0292 loss = 8.070981996
[2020-07-07 10:40:49.189060] Epoch : 0293 loss = 0.094596225
[2020-07-07 10:40:53.376378] Epoch : 0294 loss = 0.091276756
[2020-07-07 10:40:57.547644] Epoch : 0295 loss = 0.089763215
[2020-07-07 10:41:01.720662] Epoch : 0296 loss = 0.088644715
[2020-07-07 10:41:05.920201] Epoch : 0297 loss = 0.087757612
[2020-07-07 10:41:10.169801] Epoch : 0298 loss = 0.092574558
[2020-07-07 10:41:14.398663] Epoch : 0299 loss = 0.097048521
[2020-07-07 10:41:18.546534] Epoch : 0300 loss = 0.092259083
[2020-07-07 10:41:22.696271] Epoch : 0301 loss = 0.085259908
[2020-07-07 10:41:26.900290] Epoch : 0302 loss = 0.078455910
[2020-07-07 10:41:31.039345] Epoch : 0303 loss = 0.073585674
[2020-07-07 10:41:35.155770] Epoch : 0304 loss = 0.070796811
[2020-07-07 10:41:39.325428] Epoch : 0305 loss = 0.068726726
[2020-07-07 10:41:43.495439] Epoch : 0306 loss = 0.068967490
[2020-07-07 10:41:47.654806] Epoch : 0307 loss = 0.072606515
[2020-07-07 10:41:51.901144] Epoch : 0308 loss = 0.076834451
[2020-07-07 10:41:56.117945] Epoch : 0309 loss = 0.078293433
[2020-07-07 10:42:00.354372] Epoch : 0310 loss = 0.079369222
[2020-07-07 10:42:04.537708] Epoch : 0311 loss = 11.823427485
[2020-07-07 10:42:08.675259] Epoch : 0312 loss = 0.102536857
[2020-07-07 10:42:12.858970] Epoch : 0313 loss = 0.101065046
[2020-07-07 10:42:17.058526] Epoch : 0314 loss = 0.100211896
